   Update      Virtual      Symbol Name      Decimal   

              A000_A230  ADCReadings                   
                A000_AC48  [646]                      422
                A000_AC4C  [647]                      423
                A000_AC50  [648]                      422
                A000_AC54  [649]                      424
                A000_AC58  [650]                      420
                A000_AC5C  [651]                      421
                A000_AC60  [652]                      424
                A000_AC64  [653]                      419
                A000_AC68  [654]                      423
                A000_AC6C  [655]                      423
                A000_AC70  [656]                      422
                A000_AC74  [657]                      423
                A000_AC78  [658]                      423
                A000_AC7C  [659]                      424
                A000_AC80  [660]                      422
                A000_AC84  [661]                      423
                A000_AC88  [662]                      425
                A000_AC8C  [663]                      420
                A000_AC90  [664]                      423
                A000_AC94  [665]                      424
                A000_AC98  [666]                      420
                A000_AC9C  [667]                      423
                A000_ACA0  [668]                      423
                A000_ACA4  [669]                      425
                A000_ACA8  [670]                      422
                A000_ACAC  [671]                      422
                A000_ACB0  [672]                      425
                A000_ACB4  [673]                      421
                A000_ACB8  [674]                      425
                A000_ACBC  [675]                      424
                A000_ACC0  [676]                      421
                A000_ACC4  [677]                      424
                A000_ACC8  [678]                      423
                A000_ACCC  [679]                      425
                A000_ACD0  [680]                      423
                A000_ACD4  [681]                      423
                A000_ACD8  [682]                      425
                A000_ACDC  [683]                      422
                A000_ACE0  [684]                      425
                A000_ACE4  [685]                      425
                A000_ACE8  [686]                      421
                A000_ACEC  [687]                      425
                A000_ACF0  [688]                      424
                A000_ACF4  [689]                      426
                A000_ACF8  [690]                      425
                A000_ACFC  [691]                      423
                A000_AD00  [692]                      426
                A000_AD04  [693]                      423
                A000_AD08  [694]                      426
                A000_AD0C  [695]                      426
                A000_AD10  [696]                      421
                A000_AD14  [697]                      426
                A000_AD18  [698]                      425
                A000_AD1C  [699]                      427
                A000_AD20  [700]                      425
                A000_AD24  [701]                      423
                A000_AD28  [702]                      427
                A000_AD2C  [703]                      423
                A000_AD30  [704]                      426
                A000_AD34  [705]                      425
                A000_AD38  [706]                      420
                A000_AD3C  [707]                      423
                A000_AD40  [708]                      424
                A000_AD44  [709]                      423
                A000_AD48  [710]                      422
                A000_AD4C  [711]                      420
                A000_AD50  [712]                      423
                A000_AD54  [713]                      419
                A000_AD58  [714]                      422
                A000_AD5C  [715]                      421
                A000_AD60  [716]                      416
                A000_AD64  [717]                      420
                A000_AD68  [718]                      420
                A000_AD6C  [719]                      420
                A000_AD70  [720]                      419
                A000_AD74  [721]                      417
                A000_AD78  [722]                      420
                A000_AD7C  [723]                      418
                A000_AD80  [724]                      421
                A000_AD84  [725]                      420
                A000_AD88  [726]                      415
                A000_AD8C  [727]                      421
                A000_AD90  [728]                      420
                A000_AD94  [729]                      421
                A000_AD98  [730]                      419
                A000_AD9C  [731]                      417
                A000_ADA0  [732]                      421
                A000_ADA4  [733]                      418
                A000_ADA8  [734]                      420
                A000_ADAC  [735]                      420
                A000_ADB0  [736]                      414
                A000_ADB4  [737]                      420
                A000_ADB8  [738]                      420
                A000_ADBC  [739]                      420
                A000_ADC0  [740]                      419
                A000_ADC4  [741]                      416
                A000_ADC8  [742]                      420
                A000_ADCC  [743]                      418
                A000_ADD0  [744]                      420
                A000_ADD4  [745]                      420
                A000_ADD8  [746]                      413
                A000_ADDC  [747]                      420
                A000_ADE0  [748]                      419
                A000_ADE4  [749]                      419
                A000_ADE8  [750]                      419
                A000_ADEC  [751]                      417
                A000_ADF0  [752]                      420
                A000_ADF4  [753]                      418
                A000_ADF8  [754]                      420
                A000_ADFC  [755]                      420
                A000_AE00  [756]                      414
                A000_AE04  [757]                      420
                A000_AE08  [758]                      421
                A000_AE0C  [759]                      420
                A000_AE10  [760]                      419
                A000_AE14  [761]                      416
                A000_AE18  [762]                      420
                A000_AE1C  [763]                      419
                A000_AE20  [764]                      420
                A000_AE24  [765]                      420
                A000_AE28  [766]                      414
                A000_AE2C  [767]                      421
                A000_AE30  [768]                      421
                A000_AE34  [769]                      419
                A000_AE38  [770]                      419
                A000_AE3C  [771]                      416
                A000_AE40  [772]                      420
                A000_AE44  [773]                      419
                A000_AE48  [774]                      420
