   Update      Virtual      Symbol Name      Decimal   

              A000_D110  ADCReadings                   
                A000_DC54  [721]                      361
                A000_DC58  [722]                      363
                A000_DC5C  [723]                      359
                A000_DC60  [724]                      363
                A000_DC64  [725]                      363
                A000_DC68  [726]                      359
                A000_DC6C  [727]                      363
                A000_DC70  [728]                      363
                A000_DC74  [729]                      364
                A000_DC78  [730]                      361
                A000_DC7C  [731]                      360
                A000_DC80  [732]                      363
                A000_DC84  [733]                      359
                A000_DC88  [734]                      364
                A000_DC8C  [735]                      363
                A000_DC90  [736]                      359
                A000_DC94  [737]                      363
                A000_DC98  [738]                      361
                A000_DC9C  [739]                      364
                A000_DCA0  [740]                      361
                A000_DCA4  [741]                      360
                A000_DCA8  [742]                      364
                A000_DCAC  [743]                      360
                A000_DCB0  [744]                      364
                A000_DCB4  [745]                      364
                A000_DCB8  [746]                      359
                A000_DCBC  [747]                      364
                A000_DCC0  [748]                      362
                A000_DCC4  [749]                      365
                A000_DCC8  [750]                      363
                A000_DCCC  [751]                      361
                A000_DCD0  [752]                      365
                A000_DCD4  [753]                      361
                A000_DCD8  [754]                      365
                A000_DCDC  [755]                      364
                A000_DCE0  [756]                      360
                A000_DCE4  [757]                      364
                A000_DCE8  [758]                      364
                A000_DCEC  [759]                      367
                A000_DCF0  [760]                      364
                A000_DCF4  [761]                      361
                A000_DCF8  [762]                      366
                A000_DCFC  [763]                      364
                A000_DD00  [764]                      366
                A000_DD04  [765]                      366
                A000_DD08  [766]                      360
                A000_DD0C  [767]                      365
                A000_DD10  [768]                      366
                A000_DD14  [769]                      367
                A000_DD18  [770]                      366
                A000_DD1C  [771]                      363
                A000_DD20  [772]                      366
                A000_DD24  [773]                      364
                A000_DD28  [774]                      367
                A000_DD2C  [775]                      367
                A000_DD30  [776]                      361
                A000_DD34  [777]                      366
                A000_DD38  [778]                      368
                A000_DD3C  [779]                      367
                A000_DD40  [780]                      366
                A000_DD44  [781]                      364
                A000_DD48  [782]                      367
                A000_DD4C  [783]                      365
                A000_DD50  [784]                      368
                A000_DD54  [785]                      367
                A000_DD58  [786]                      362
                A000_DD5C  [787]                      367
                A000_DD60  [788]                      368
                A000_DD64  [789]                      367
                A000_DD68  [790]                      368
                A000_DD6C  [791]                      364
                A000_DD70  [792]                      368
                A000_DD74  [793]                      366
                A000_DD78  [794]                      368
                A000_DD7C  [795]                      368
                A000_DD80  [796]                      362
                A000_DD84  [797]                      368
                A000_DD88  [798]                      368
                A000_DD8C  [799]                      367
                A000_DD90  [800]                      368
                A000_DD94  [801]                      364
                A000_DD98  [802]                      368
                A000_DD9C  [803]                      367
                A000_DDA0  [804]                      369
                A000_DDA4  [805]                      368
                A000_DDA8  [806]                      361
                A000_DDAC  [807]                      368
                A000_DDB0  [808]                      368
                A000_DDB4  [809]                      368
                A000_DDB8  [810]                      367
                A000_DDBC  [811]                      365
                A000_DDC0  [812]                      368
                A000_DDC4  [813]                      367
                A000_DDC8  [814]                      369
                A000_DDCC  [815]                      368
                A000_DDD0  [816]                      363
                A000_DDD4  [817]                      369
                A000_DDD8  [818]                      369
                A000_DDDC  [819]                      368
                A000_DDE0  [820]                      368
